date,type,reg,operator,location,fatalities,damage_level
15-07-2022,Antonov An-2R,RA-02240,private,"Prochnookopskaya, Novokubansky district, Krasnodar region",2,Medium
16-07-2022,Boeing 737-81D (WL),JA807X,Solaseed Air,120 km SW of Naha Airport,0,Low
16-07-2022,Fokker 50,5Y-JSN,Icon Aviation,Rubkona Airport,0,Medium
16-07-2022,Antonov An-12BK,UR-CIC,Meridian,16 km W of Kavala,8,High
18-07-2022,Fokker 50,5Y-JXN,Jubba Airways,Mogadishu Aden Adde International Airport (MGQ),0,High
20-07-2022,Airbus A321-271NX,HA-LGA,Wizz Air,Budapest Ferenc Liszt International Airport (BUD/LHBP),0,Low
21-07-2022,Cessna 680 Citation Sovereign,C-GDCP,Anderson Air,"Kotzebue-Ralph Wien Memorial Airport, AK (OTZ)",0,Medium
22-07-2022,Antonov An-2,ST-AUD,Crop Protection Company,W of Omdurman Al Hara,0,Medium
24-07-2022,Boeing 717-2BD,N945AT,Delta Air Lines,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",0,Medium
25-07-2022,Airbus A320-214,N950AV,Avianca,Rionegro/Medellín-José María Córdova Airport (MDE/SKRG),0,Low
27-07-2022,Bombardier BD-100-1A10 Challenger 300,N557XJ,VistaJet,"San Francisco, CA",0,Low
28-07-2022,de Havilland Canada DHC-3T Vazar Turbine Otter,N320KT,Rust's Flying Service,"Talkeetna Airport, AK (TKA)",0,Medium
29-07-2022,CASA C-212 Aviocar 200,N497CA,Rampart Aviation,"Raleigh/Durham Airport, NC (RDU)",1,Medium
30-07-2022,Boeing 737-86N (WL),HS-DBR,Nok Air,Chiang Rai-Mae Fah Luang International Airport (CEI),0,Medium
05-08-2022,Boeing 777-FDZ,A7-BFH,Qatar Airways Cargo,"Chicago-O'Hare International Airport, IL (ORD/KORD)",0,Medium
06-08-2022,Boeing 757-251 (WL),N540US,Delta Air Lines,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",0,Medium
07-08-2022,IAI 1124 Westwind,PR-OMX,Brasil Vida Táxi Aéreo,"GoiÃ¢nia-Nacional de AviaÃ§Ã£o Aerodrome, GO (SBNV)",0,Medium
15-08-2022,Cessna 560 Citation Encore,N977MR,"Raber Flight Services, LLC","Aspen-Pitkin County Airport, CO (ASE/KASE)",0,Medium
17-08-2022,Antonov An-24B,RA-47848,Angara Airlines,Ust-Kut Airport (UKX),0,Medium
19-08-2022,Boeing 737-824 (WL),N73270,United Airlines,"Pharisburg, OH",0,Low
20-08-2022,Beechcraft 99,N399TS,PACC Air,"Oshkosh-Wittman Field, WI (OSH)",0,Medium
29-08-2022,Boeing 717-2BD,N946AT,Delta Air Lines,"E of Detroit, MI",0,Low
30-08-2022,Cessna 208B Grand Caravan EX,PK-SNW,Smart Cakrawala Aviation,Sinak Airport (NKD),0,Medium
31-08-2022,Cessna 208B Grand Caravan EX,N208JM,Private,ca 1 km S of Abu Dhabi-Bateen Airport (AZI),0,High
01-09-2022,Boeing 737-824 (WL),N76529,United Airlines,"Denver International Airport, CO (DEN/KDEN)",0,Low
02-09-2022,Airbus A320-251N,CS-TVI,TAP Air Portugal,Conakry-Gbessia International Airport (CKY),2,Medium
02-09-2022,Antonov An-2R,RA-56534,2nd Arkhangelsk United Aviation Division,Nes,0,Medium
03-09-2022,Shorts SC.7 Skyvan 3M-400,SP-HIP,SkyForce,2 km SSW of Piotrków Trybunalski-Bujny Airport,2,High
04-09-2022,Airbus A220-100,N113DQ,Delta Air Lines,"near New York-La Guardia Airport, NY (LGA/KLGA)",0,Low
04-09-2022,Boeing 777-F1H,D-AALU,AeroLogic,Frankfurt International Airport (FRA/EDDF),0,Low
04-09-2022,de Havilland Canada DHC-3T Turbine Otter,N725TH,Friday Harbor Seaplane Tours,"3 km SW off Freeland, WA",10,High
04-09-2022,Cessna 551 Citation II/SP,OE-FGR,GG Rent,37 km NW off Ventspils (Baltic Sea),4,High
07-09-2022,Cessna 750 Citation X,N15TZ,"BVS, Inc","Phoenix-Mesa Gateway Airport, AZ (AZA)",0,Medium
09-09-2022,Learjet 36,N26FN,Strategic Airborne Operations,"San Diego-North Island NAS, CA (NZY)",0,Medium
09-09-2022,Cirrus SF50 Vision Jet,N77VJ,TAC9 Inc.,"10 km SSW of Kissimmee Gateway Airport, FL (ISM)",0,Medium
10-09-2022,Antonov An-28,9S-GAX,TRACEP-Congo Aviation,13 km W of Bukavu-Kavumu Airport (BKY),3,High
10-09-2022,Cessna 208B Grand Caravan,PT-MES,Piquiatuba Táxi Aéreo,"near Porto Trombetas, PA",1,High
15-09-2022,Fairchild SA227-AC Metro III,XA-UMW,Aeronaves TSM,near Ramos Arizpe,0,Medium
19-09-2022,Beechcraft 1900C-1,TN-AIQ,Equaflight Services,Pointe-Noire Agostinho-Neto International Airport (PNR),0,Medium
20-09-2022,Dassault Falcon 2000,ZS-PKR,Pepkor Group,Pietermaritzburg Airport (PZB),0,Medium
20-09-2022,Cessna 525B CitationJet CJ3,N528DV,Pacific Cataract & Laser Institute Inc Pc,"Pasco-Tri-Cities Airport, WA (PSC)",0,High
20-09-2022,British Aerospace 3201 Jetstream 32EP,OB-2152,SAETA Peru,El Estrecho Airport (SPEE),1,Medium
21-09-2022,Britten Norman BN-2A-8 Islander,8R-GGT,Jags Aviation,Eteringbang Airport (SYET),0,Medium
21-09-2022,Rockwell Sabreliner 65,XB-RXG,private,within Zulia,0,High
22-09-2022,Boeing 737-8HC (WL),TC-SOG,SunExpress,KÃ¶ln/Bonn-Konrad Adenauer Airport (CGN/EDDK),0,Medium
22-09-2022,Antonov An-2R,ST-AUE,Crop Protection Company,"Yassin, east Darfur",0,Medium
24-09-2022,Boeing 737-436 (SF),EC-NLS,"Swiftair, opf West Atlantic (UK)",Montpellier-Méditerranée Airport (MPL),0,Medium
25-09-2022,Boeing 737-8V3 (WL),HP-1539CMP,Copa Airlines,Panama City-Tocumen International Airport (PTY),0,Medium
25-09-2022,Fokker 50,5Y-FAI,Freedom Airline Express,Nairobi-Jomo Kenyatta International Airport (NBO/HKJK),0,Medium
27-09-2022,Cessna 550 Citation II,N409ST,ABS Equipment Leasing,"Waco-McGregor Executive Airport, TX (KPWG)",0,Medium
28-09-2022,Boeing 757-256 (WL),TF-FIK,Icelandair Flugfélag Islands,London-Heathrow Airport (LHR),0,Medium
28-09-2022,Boeing 777-3B5ER,HL7782,Korean Air,London-Heathrow Airport (LHR),0,Medium
29-09-2022,Boeing 737-7CT (WL),N7881A,Southwest Airlines,"Denver International Airport, CO (DEN/KDEN)",0,Low
01-10-2022,Boeing 737-8GJ (WL),F-GZHA,Transavia France,Nantes Atlantique Airport (NTE),0,Medium
03-10-2022,Boeing 737-8Q3 (WL),JA07RK,Japan Transocean Air,near Miho Airport,0,Low
03-10-2022,Embraer EMB-545 Legacy 450,N179SP,Partee Aviation LLC,"Houston-William P. Hobby Airport, TX (HOU)",0,Medium
03-10-2022,Britten-Norman BN-2A-21 Islander,VH-WQA,Torres Strait Air,"Moa Island, Torres Strait",0,Medium
05-10-2022,ATR 42-500,SX-EIT,Sky Express,Athens-Elefthérios Venizélos International Airport (ATH/LGAV),0,Medium
